frame,class_id,class_name,conf,x1,y1,x2,y2
0,0,polyp,0.7984989881515503,147.83230590820312,90.76555633544922,286.89739990234375,182.21632385253906
1,0,polyp,0.8354049921035767,147.82981872558594,91.32967376708984,286.75042724609375,180.87750244140625
2,0,polyp,0.8328782916069031,147.92324829101562,90.65771484375,286.53271484375,180.51158142089844
3,0,polyp,0.8435372710227966,147.91824340820312,90.80525207519531,287.04058837890625,180.9333953857422
4,0,polyp,0.8617154955863953,148.09381103515625,91.1292495727539,285.9404296875,180.09164428710938
5,0,polyp,0.8757086992263794,148.16229248046875,91.17559051513672,283.2591552734375,179.4949951171875
6,0,polyp,0.8485925197601318,148.12405395507812,90.9891586303711,282.8418273925781,178.30593872070312
7,0,polyp,0.8710985779762268,147.7932586669922,89.90973663330078,281.5892028808594,178.46945190429688
8,0,polyp,0.8721622824668884,147.4631805419922,90.2230224609375,281.78106689453125,178.41688537597656
9,0,polyp,0.8590711951255798,147.58363342285156,90.18388366699219,279.0462951660156,178.32530212402344
10,0,polyp,0.8981826305389404,147.34437561035156,90.03691864013672,280.6206359863281,178.1253204345703
11,0,polyp,0.8673225045204163,147.14749145507812,89.8694076538086,279.997802734375,178.0114288330078
12,0,polyp,0.9066774845123291,147.275390625,90.12867736816406,278.4407043457031,177.57594299316406
13,0,polyp,0.9044114351272583,147.2030487060547,90.27116394042969,280.4211120605469,177.7919921875
14,0,polyp,0.8763204216957092,146.83111572265625,91.76686096191406,279.0120544433594,178.27200317382812
15,0,polyp,0.8829946517944336,147.25880432128906,90.18888854980469,279.6296081542969,176.17991638183594
16,0,polyp,0.89555823802948,147.36415100097656,90.10326385498047,279.4296569824219,177.41148376464844
17,0,polyp,0.8986262679100037,147.2738037109375,90.25914764404297,279.56646728515625,177.64328002929688
18,0,polyp,0.8696257472038269,147.43701171875,91.11053466796875,276.5314025878906,178.26585388183594
19,0,polyp,0.9097904562950134,147.207275390625,90.56111907958984,278.5368957519531,179.0823211669922
20,0,polyp,0.897452712059021,146.57150268554688,90.78751373291016,277.431640625,177.65126037597656
21,0,polyp,0.8935343027114868,146.59503173828125,90.28768157958984,276.303955078125,177.75271606445312
22,0,polyp,0.8953972458839417,147.36253356933594,89.54774475097656,278.6567077636719,176.53475952148438
23,0,polyp,0.9036333560943604,146.88792419433594,89.83024597167969,278.2337341308594,176.2325439453125
24,0,polyp,0.8467174172401428,147.27224731445312,90.96459197998047,276.5661926269531,177.3994598388672
25,0,polyp,0.911799967288971,147.04574584960938,90.3901138305664,278.15814208984375,175.65826416015625
26,0,polyp,0.9140321016311646,147.1684112548828,90.28250885009766,277.80096435546875,175.45533752441406
27,0,polyp,0.89713454246521,147.53367614746094,90.08012390136719,276.8239440917969,174.5770263671875
28,0,polyp,0.894922137260437,147.2014617919922,90.21607971191406,276.884765625,175.4873046875
29,0,polyp,0.9089320302009583,146.82388305664062,89.77333068847656,275.59368896484375,174.25938415527344
30,0,polyp,0.8399428129196167,146.31309509277344,88.62190246582031,276.8261413574219,174.77883911132812
31,0,polyp,0.8583642840385437,145.69296264648438,88.74771881103516,274.8041076660156,174.48191833496094
32,0,polyp,0.905767560005188,145.61474609375,89.15971374511719,274.6160583496094,174.10435485839844
33,0,polyp,0.8964726328849792,145.04014587402344,89.79521942138672,273.6353454589844,173.94253540039062
34,0,polyp,0.9033815860748291,144.76087951660156,89.93812561035156,272.94525146484375,173.82298278808594
35,0,polyp,0.8772645592689514,144.6769256591797,89.94733428955078,273.0749206542969,173.8601531982422
36,0,polyp,0.9110863208770752,144.8956298828125,90.3060073852539,272.074462890625,173.39459228515625
37,0,polyp,0.8917423486709595,144.46136474609375,89.78192138671875,271.5487976074219,173.64451599121094
38,0,polyp,0.8856868147850037,145.10107421875,90.1789321899414,269.3250732421875,173.12718200683594
39,0,polyp,0.915682315826416,144.6313934326172,89.66161346435547,271.73284912109375,173.35768127441406
40,0,polyp,0.8840996623039246,144.7265625,90.49260711669922,271.9698181152344,173.91879272460938
41,0,polyp,0.8790966868400574,144.88534545898438,91.41092681884766,271.6671142578125,173.4007110595703
42,0,polyp,0.8984988331794739,144.81346130371094,90.84830474853516,271.5479431152344,173.28009033203125
43,0,polyp,0.9005475044250488,144.58872985839844,90.53072357177734,270.4802551269531,173.1239776611328
44,0,polyp,0.9075552821159363,144.7907257080078,90.07686614990234,270.45440673828125,172.8822021484375
45,0,polyp,0.9173732995986938,144.96900939941406,90.04462432861328,270.9814453125,171.6580810546875
46,0,polyp,0.8998428583145142,145.1325225830078,89.81200408935547,270.13262939453125,172.03097534179688
47,0,polyp,0.916573166847229,144.39402770996094,89.77284240722656,268.89715576171875,171.7274932861328
48,0,polyp,0.8859285712242126,144.0478515625,89.73757934570312,269.71185302734375,171.876708984375
